,season,day,timestamp_feed,description,event_type,parent_description,parent_event_type,type_feed,fragment,timestamp_rng,player_name,type_rng,s0,s1,offset
81,11,115,2021-03-07 19:01:04+00:00,Sexton Wheerer is Infused.,117,Will Received: Infuse,61,infuse,-1,,,,-1,-1,-1
82,11,115,2021-03-07 19:01:04+00:00,Betsy Trombone is Infused.,117,Will Received: Infuse,61,infuse,-1,,,,-1,-1,-1
83,11,115,2021-03-07 19:01:04+00:00,Tillman Henderson is Infused.,117,Will Received: Infuse,61,infuse,-1,,,,-1,-1,-1
84,11,115,2021-03-07 19:01:04+00:00,Tamara Crankit is Infused.,117,Will Received: Infuse,61,infuse,-1,,,,-1,-1,-1
85,11,115,2021-03-07 19:01:04+00:00,Huber Frumple is Infused.,117,Will Received: Infuse,61,infuse,-1,,,,-1,-1,-1
86,11,115,2021-03-07 19:01:04+00:00,Bevan Underbuck entered the Shadows.,117,Will Received: Foreshadow,61,shadow,-1,,,,-1,-1,-1
87,11,115,2021-03-07 19:01:04+00:00,Joshua Butt is Infused.,117,Will Received: Infuse,61,infuse,-1,,,,-1,-1,-1
88,11,115,2021-03-07 19:01:04+00:00,Quinns Jespersen entered the Shadows.,117,Will Received: Foreshadow,61,shadow,-1,,,,-1,-1,-1
89,11,115,2021-03-07 19:01:05+00:00,Chorby Short's hitting was re-rolled.,119,"Blessing Won: Summoning Circle, Magic",60,reroll,-1,,,,-1,-1,-1
90,11,115,2021-03-07 19:01:05+00:00,Chorby Short's hitting was re-rolled.,119,"Blessing Won: Summoning Circle, Magic",60,reroll,-1,,,,-1,-1,-1
91,11,115,2021-03-07 19:01:05+00:00,Wyatt Glover's hitting was re-rolled.,119,"Blessing Won: Summoning Circle, Magic",60,reroll,-1,,,,-1,-1,-1
92,11,115,2021-03-07 19:01:05+00:00,The Moist Talkers' hitting was boosted.,117,"Blessing Won: Tag Team Hitting, Moist Talkers",60,boost,-1,,,,-1,-1,-1
