,ID,Name,Day,X,Y,edensity
1662,b6b5df8f-5602-4883-b47d-07e77ed9d5af,Excavators,87,0.6810409637900172,0.9199215351340352,560.0810585430823
1663,b6b5df8f-5602-4883-b47d-07e77ed9d5af,Excavators,88,0.6732082942896105,0.9119136886474388,560.0810585430823
1664,b6b5df8f-5602-4883-b47d-07e77ed9d5af,Excavators,89,0.6653756247892038,0.9039058421608424,560.0810585430823
1665,b6b5df8f-5602-4883-b47d-07e77ed9d5af,Excavators,90,0.657542955288797,0.8958979956742459,560.0810585430823
1666,b6b5df8f-5602-4883-b47d-07e77ed9d5af,Excavators,91,0.6497102857883903,0.8878901491876494,560.0810585430823
1667,b6b5df8f-5602-4883-b47d-07e77ed9d5af,Excavators,92,0.6418776162879836,0.8798823027010529,560.0810585430823
1668,b6b5df8f-5602-4883-b47d-07e77ed9d5af,Excavators,93,0.6340449467875768,0.8718744562144565,560.0810585430823
1669,54d0d0f2-16e0-42a0-9fff-79cfa7c4a157,Fireballs,73,0.9392333456924482,0.9093155460388288,0.0
1670,54d0d0f2-16e0-42a0-9fff-79cfa7c4a157,Fireballs,74,0.8526738468013295,0.9630927212890966,0.0
1671,54d0d0f2-16e0-42a0-9fff-79cfa7c4a157,Fireballs,75,0.7622347615608004,1.0,535.0972985799044
1672,54d0d0f2-16e0-42a0-9fff-79cfa7c4a157,Fireballs,76,0.7547504681805577,0.9923503594739712,535.0972985799044
1673,54d0d0f2-16e0-42a0-9fff-79cfa7c4a157,Fireballs,77,0.6725696128627283,0.9182144524359458,535.0972985799044
1674,54d0d0f2-16e0-42a0-9fff-79cfa7c4a157,Fireballs,78,0.7630952963387374,0.8906938249881043,535.0972985799044
1675,54d0d0f2-16e0-42a0-9fff-79cfa7c4a157,Fireballs,79,0.6792412174348439,0.947684732147942,535.0972985799044
1676,54d0d0f2-16e0-42a0-9fff-79cfa7c4a157,Fireballs,80,0.5954861821205129,1.0,535.0972985799044
1677,54d0d0f2-16e0-42a0-9fff-79cfa7c4a157,Fireballs,81,0.5124943650807642,1.0,535.0972985799044
1678,54d0d0f2-16e0-42a0-9fff-79cfa7c4a157,Fireballs,82,0.4291364485089041,1.0,535.0972985799044
1679,54d0d0f2-16e0-42a0-9fff-79cfa7c4a157,Fireballs,83,0.3465742033640742,1.0,535.0972985799044
