,event_type,roll,passed,batter_name,batter_buoyancy,batter_divinity,batter_martyrdom,batter_moxie,batter_musclitude,batter_patheticism,batter_thwackability,batter_tragicness,pitcher_name,pitcher_ruthlessness,pitcher_overpowerment,pitcher_unthwackability,pitcher_shakespearianism,pitcher_suppression,pitcher_coldness,pitcher_chasiness,defense_avg_anticapitalism,defense_avg_chasiness,defense_avg_omniscience,defense_avg_tenaciousness,defense_avg_watchfulness,ballpark_grandiosity,ballpark_fortification,ballpark_obtuseness,ballpark_ominousness,ballpark_inconvenience,ballpark_viscosity,ballpark_forwardness,ballpark_mysticism,ballpark_elongation,batting_team_hype,pitching_team_hype,batter_vibes,pitcher_vibes
816,StrikeLooking,0.4308541232002132,True,Gerund Pantheocide,0.3668671255143713,1.1034034973599671,0.6282305043241359,0.6408977065568466,0.963404882391373,0.20460150272585947,1.3747361670544296,0.001,Durham Spaceman,0.983421635284985,0.9397378412545061,0.5135358290681394,0.6631948938640665,0.5164439383988254,0.11430157944266794,0.5210655812305086,0.9139519284089076,0.8672532543991626,0.7807819113794932,0.7724879543804846,0.8708897266064763,0.5945987414565932,0.6945270359983422,0.5462831513898578,0.8431429454686357,0.5962457551826605,0.5751864596590106,0.7697243846572969,0.5626868198807364,0.5409028298425935,0.0,0.3899999999999999,0.5354727862820106,0.7426226915478404
817,Ball,0.894314439344142,False,Elwin McGhee,0.49199577640577274,0.9593393385344963,0.8278429977106819,0.5075530786457918,0.734664519583146,0.715624577732681,0.5090300139067767,0.7522816957753236,Durham Spaceman,0.983421635284985,0.9397378412545061,0.5135358290681394,0.6631948938640665,0.5164439383988254,0.11430157944266794,0.5210655812305086,0.9139519284089076,0.8672532543991626,0.7807819113794932,0.7724879543804846,0.8708897266064763,0.5945987414565932,0.6945270359983422,0.5462831513898578,0.8431429454686357,0.5962457551826605,0.5751864596590106,0.7697243846572969,0.5626868198807364,0.5409028298425935,0.0,0.3899999999999999,0.06725833986428545,0.7426226915478404
818,StrikeLooking,0.014901514165015284,True,Elwin McGhee,0.49199577640577274,0.9593393385344963,0.8278429977106819,0.5075530786457918,0.734664519583146,0.715624577732681,0.5090300139067767,0.7522816957753236,Durham Spaceman,0.983421635284985,0.9397378412545061,0.5135358290681394,0.6631948938640665,0.5164439383988254,0.11430157944266794,0.5210655812305086,0.9139519284089076,0.8672532543991626,0.7807819113794932,0.7724879543804846,0.8708897266064763,0.5945987414565932,0.6945270359983422,0.5462831513898578,0.8431429454686357,0.5962457551826605,0.5751864596590106,0.7697243846572969,0.5626868198807364,0.5409028298425935,0.0,0.3899999999999999,0.06725833986428545,0.7426226915478404
819,Ball,0.676951586023731,False,Brisket Friendo,0.9297824279212679,0.7544599779150634,0.0630437024225694,0.4578878953115926,0.009107078558168391,0.7362393732379513,0.7098474520570861,0.9010721333662626,Grollis Zephyr,0.7403085464916612,0.7258438153861636,0.701883258663973,0.8557099962002905,0.2640535744685947,0.5486849381450271,0.45624091722676324,0.6238252616136843,0.6068860997977767,0.6192006541988031,0.4577112168666447,0.6264431101755832,0.5945987414565932,0.6945270359983422,0.5462831513898578,0.8431429454686357,0.5962457551826605,0.5751864596590106,0.7697243846572969,0.5626868198807364,0.5409028298425935,0.3899999999999999,0.0,-0.7395060763952447,0.2747531064087987
820,Ball,0.9453509056032299,False,Brisket Friendo,0.9297824279212679,0.7544599779150634,0.0630437024225694,0.4578878953115926,0.009107078558168391,0.7362393732379513,0.7098474520570861,0.9010721333662626,Grollis Zephyr,0.7403085464916612,0.7258438153861636,0.701883258663973,0.8557099962002905,0.2640535744685947,0.5486849381450271,0.45624091722676324,0.6238252616136843,0.6068860997977767,0.6192006541988031,0.4577112168666447,0.6264431101755832,0.5945987414565932,0.6945270359983422,0.5462831513898578,0.8431429454686357,0.5962457551826605,0.5751864596590106,0.7697243846572969,0.5626868198807364,0.5409028298425935,0.3899999999999999,0.0,-0.7395060763952447,0.2747531064087987
821,Ball,0.4932735279027214,False,Oliver Mueller,0.49864108520603995,0.63772148740213,1.0416750362750387,0.9638153249035013,0.3127844486928484,0.001,1.078446657583169,0.001,Grollis Zephyr,0.7403085464916612,0.7258438153861636,0.701883258663973,0.8557099962002905,0.2640535744685947,0.5486849381450271,0.45624091722676324,0.6238252616136843,0.6068860997977767,0.6192006541988031,0.4577112168666447,0.6264431101755832,0.5945987414565932,0.6945270359983422,0.5462831513898578,0.8431429454686357,0.5962457551826605,0.5751864596590106,0.7697243846572969,0.5626868198807364,0.5409028298425935,0.3899999999999999,0.0,0.17553820736628073,0.2747531064087987
822,Ball,0.5563091833213973,False,Oliver Mueller,0.49864108520603995,0.63772148740213,1.0416750362750387,0.9638153249035013,0.3127844486928484,0.001,1.078446657583169,0.001,Grollis Zephyr,0.7403085464916612,0.7258438153861636,0.701883258663973,0.8557099962002905,0.2640535744685947,0.5486849381450271,0.45624091722676324,0.6238252616136843,0.6068860997977767,0.6192006541988031,0.4577112168666447,0.6264431101755832,0.5945987414565932,0.6945270359983422,0.5462831513898578,0.8431429454686357,0.5962457551826605,0.5751864596590106,0.7697243846572969,0.5626868198807364,0.5409028298425935,0.3899999999999999,0.0,0.17553820736628073,0.2747531064087987
823,Ball,0.8157292163163057,False,Arturo Huerta,0.32305576801545793,1.2306023698319908,0.5418025080180896,1.1058104018156258,1.2757034336429982,0.14908136346403195,0.38060231411674034,0.001,Grollis Zephyr,0.7403085464916612,0.7258438153861636,0.701883258663973,0.8557099962002905,0.2640535744685947,0.5486849381450271,0.45624091722676324,0.6238252616136843,0.6068860997977767,0.6192006541988031,0.4577112168666447,0.6264431101755832,0.5945987414565932,0.6945270359983422,0.5462831513898578,0.8431429454686357,0.5962457551826605,0.5751864596590106,0.7697243846572969,0.5626868198807364,0.5409028298425935,0.3899999999999999,0.0,-0.33910109465104965,0.2747531064087987
824,Ball,0.7668257174539952,False,Alaynabella Hollywood,1.3909906059919466,0.6093956743496454,1.0891731305432675,0.6102338577834326,1.2404432830346166,0.001,0.7403369727828487,0.001,Grollis Zephyr,0.7403085464916612,0.7258438153861636,0.701883258663973,0.8557099962002905,0.2640535744685947,0.5486849381450271,0.45624091722676324,0.6238252616136843,0.6068860997977767,0.6192006541988031,0.4577112168666447,0.6264431101755832,0.5945987414565932,0.6945270359983422,0.5462831513898578,0.8431429454686357,0.5962457551826605,0.5751864596590106,0.7697243846572969,0.5626868198807364,0.5409028298425935,0.3899999999999999,0.0,-0.6881451888529163,0.2747531064087987
825,Ball,0.6842502133736346,False,Alaynabella Hollywood,1.3909906059919466,0.6093956743496454,1.0891731305432675,0.6102338577834326,1.2404432830346166,0.001,0.7403369727828487,0.001,Grollis Zephyr,0.7403085464916612,0.7258438153861636,0.701883258663973,0.8557099962002905,0.2640535744685947,0.5486849381450271,0.45624091722676324,0.6238252616136843,0.6068860997977767,0.6192006541988031,0.4577112168666447,0.6264431101755832,0.5945987414565932,0.6945270359983422,0.5462831513898578,0.8431429454686357,0.5962457551826605,0.5751864596590106,0.7697243846572969,0.5626868198807364,0.5409028298425935,0.3899999999999999,0.0,-0.6881451888529163,0.2747531064087987
